,x,y,z
mean,-0.0149365234375,-0.01345062255859375,-0.9962619018554687
std,0.0008066340206475498,0.0010733351762717187,0.0009024088385575324
min,-0.0166015625,-0.0157012939453125,-0.997955322265625
max,-0.012298583984375,-0.011322021484375,-0.992919921875
