,x,y,z
mean,-0.01489959716796875,-0.01400909423828125,-0.9964703369140625
std,0.0007866681892259666,0.0014536300256748028,0.002726304751268498
min,-0.0167236328125,-0.018890380859375,-1.0023040771484375
max,-0.013519287109375,-0.012420654296875,-0.9853668212890625
