,x,y,z
mean,-0.01584869384765625,-0.0142132568359375,-0.9967782592773438
std,0.0011255830105728023,0.0008903905738928248,0.0018169508917543489
min,-0.0201263427734375,-0.016265869140625,-1.00567626953125
max,-0.013214111328125,-0.0123138427734375,-0.993896484375
