t,x,y,z
2025-09-28 10:51:16.288365,-0.0160980224609375,-0.014129638671875,-0.9953460693359375
2025-09-28 10:51:18.175559,-0.0162200927734375,-0.014129638671875,-0.9957427978515625
2025-09-28 10:51:20.465991,-0.0201263427734375,-0.0123138427734375,-0.9998626708984375
2025-09-28 10:51:22.317495,-0.015899658203125,-0.0155029296875,-0.99798583984375
2025-09-28 10:51:24.587503,-0.01666259765625,-0.0155029296875,-0.9955291748046875
2025-09-28 10:51:26.414010,-0.016693115234375,-0.0149688720703125,-0.995086669921875
2025-09-28 10:51:28.253667,-0.01556396484375,-0.0149688720703125,-0.995086669921875
2025-09-28 10:51:30.085824,-0.01556396484375,-0.0130615234375,-0.9967498779296875
2025-09-28 10:51:32.795157,-0.0152740478515625,-0.0143585205078125,-0.9967498779296875
2025-09-28 10:51:35.037362,-0.015228271484375,-0.0143585205078125,-0.994354248046875
2025-09-28 10:51:36.863796,-0.013427734375,-0.01239013671875,-0.997528076171875
2025-09-28 10:51:39.426299,-0.0169677734375,-0.013824462890625,-0.996551513671875
2025-09-28 10:51:41.810359,-0.0146636962890625,-0.016265869140625,-1.00567626953125
2025-09-28 10:51:43.682703,-0.017547607421875,-0.0161285400390625,-0.9969024658203125
2025-09-28 10:51:45.948510,-0.017242431640625,-0.0139617919921875,-0.996185302734375
2025-09-28 10:51:48.250222,-0.0161895751953125,-0.013824462890625,-0.997955322265625
2025-09-28 10:51:50.142459,-0.0155029296875,-0.01434326171875,-0.9969024658203125
2025-09-28 10:51:51.984565,-0.015594482421875,-0.01434326171875,-0.9964141845703125
2025-09-28 10:51:53.892994,-0.0156707763671875,-0.01434326171875,-0.996826171875
2025-09-28 10:51:55.748579,-0.0159454345703125,-0.01409912109375,-0.996826171875
2025-09-28 10:51:57.867412,-0.01556396484375,-0.01416015625,-0.9966888427734375
2025-09-28 10:52:00.242917,-0.0162506103515625,-0.0143280029296875,-0.995880126953125
2025-09-28 10:52:02.083281,-0.0164642333984375,-0.0144805908203125,-0.996368408203125
2025-09-28 10:52:03.919370,-0.0164642333984375,-0.014312744140625,-0.9962310791015625
2025-09-28 10:52:05.857267,-0.015594482421875,-0.014892578125,-0.9968109130859375
2025-09-28 10:52:07.683060,-0.015655517578125,-0.0137786865234375,-0.996124267578125
2025-09-28 10:52:09.504222,-0.0166473388671875,-0.013580322265625,-0.9971160888671875
2025-09-28 10:52:11.358697,-0.015777587890625,-0.014404296875,-0.9971160888671875
2025-09-28 10:52:13.671125,-0.015777587890625,-0.01568603515625,-1.000396728515625
2025-09-28 10:52:15.506187,-0.017791748046875,-0.013427734375,-1.000396728515625
2025-09-28 10:52:17.765692,-0.0156707763671875,-0.013427734375,-0.9949951171875
2025-09-28 10:52:19.979131,-0.0162811279296875,-0.0139312744140625,-0.99700927734375
2025-09-28 10:52:21.818464,-0.0162811279296875,-0.0147552490234375,-0.996795654296875
2025-09-28 10:52:23.624037,-0.0159912109375,-0.0142669677734375,-0.996795654296875
2025-09-28 10:52:26.315735,-0.0148162841796875,-0.0139007568359375,-0.9956207275390625
2025-09-28 10:52:28.204343,-0.0153961181640625,-0.0139007568359375,-0.9956207275390625
2025-09-28 10:52:30.011941,-0.0134735107421875,-0.0123138427734375,-0.9957427978515625
2025-09-28 10:52:31.864432,-0.0152130126953125,-0.0142669677734375,-0.996734619140625
2025-09-28 10:52:33.710197,-0.0169830322265625,-0.0132598876953125,-0.993896484375
2025-09-28 10:52:35.531751,-0.015625,-0.0144195556640625,-0.99560546875
2025-09-28 10:52:38.275375,-0.0160980224609375,-0.013671875,-0.99560546875
2025-09-28 10:52:40.137314,-0.016204833984375,-0.0148162841796875,-0.9972991943359375
2025-09-28 10:52:42.416900,-0.0163421630859375,-0.0148162841796875,-0.9972991943359375
2025-09-28 10:52:44.267159,-0.0142364501953125,-0.0156097412109375,-0.9980010986328125
2025-09-28 10:52:46.511108,-0.013214111328125,-0.015472412109375,-0.995574951171875
2025-09-28 10:52:48.392565,-0.01458740234375,-0.0145111083984375,-0.9979400634765625
2025-09-28 10:52:50.637670,-0.0163116455078125,-0.0135650634765625,-0.9966583251953125
2025-09-28 10:52:52.471412,-0.0151519775390625,-0.01275634765625,-0.9966583251953125
2025-09-28 10:52:55.130619,-0.015380859375,-0.013519287109375,-0.9958343505859375
2025-09-28 10:52:56.972636,-0.015106201171875,-0.01361083984375,-0.9958343505859375
